Unnamed: 0,district,address,boomTime,lat,lon,state_code
0,大同區,大龍街85巷,106-1-3,25.066423399999998,121.51658159999998,554326994
1,大同區,環河北路1段87號,106-1-4,25.053022,121.5075455,554026966
2,大同區,鄭州路與西寧北路口,106-1-9,25.050385000000002,121.50978640000001,553926961
3,大同區,南京西路302巷,106-1-14,25.053601,121.513571,554026969
4,大同區,承德路3段32號,106-1-14,25.06446050000001,121.51806270000002,554226991
5,大同區,延平北路1段與南京西路口,106-1-6,25.0670589,121.511082,554326994
6,大同區,長安西路與塔城街口,106-1-13,25.050385000000002,121.50978640000001,553926961
7,大同區,鄭州路與塔城街口,106-2-8,25.050385000000002,121.50978640000001,553926961
8,大同區,重慶北路2段227號與重慶北路2段口,106-2-11,25.0616167,121.51376299999998,554226985
9,大同區,酒泉街與重慶北路3段口,106-2-14,25.0721299,121.51406259999999,554427004
10,大同區,重慶北路2段與民權西路口,106-1-3,25.0621449,121.51338700000001,554226986
11,大同區,承德路1段與鄭州路1段口,106-1-3,25.0633359,121.51858200000001,554226989
12,大同區,延平北路3段69號,106-1-4,25.066313,121.511121,554326993
13,大同區,環河北路2段18標高速公路下方,106-1-7,24.1752407,120.63048229999998,534615458
14,大同區,鄭州路131號北門捷運站2號出口,106-1-9,25.04906260000001,121.51021999999999,553926958
15,大同區,延平北路2段272巷46號,106-1-17,25.062040600000003,121.5097989,554226985
16,大同區,承德路3段221號,106-1-18,25.070284,121.51873400000001,554427002
17,大同區,重慶北路2段64巷,106-1-7,25.055707199999997,121.5129341,554126973
18,大同區,西寧北路與鄭州路口,106-1-9,25.050385000000002,121.50978640000001,553926961
19,大同區,市民大道1段京站停車場入口前,106-1-12,25.0490476,121.51810990000001,553926960
20,大同區,承德路3段206號,106-1-13,25.0702942,121.51817120000001,554427002
21,大同區,南京西路與太原路口,106-1-9,25.053588100000002,121.5160989,554026969
22,大同區,民生西路與承德路2段口,106-1-4,25.0550237,121.51801809999999,554026973
23,大同區,延平北路2段與保安街口,106-1-10,25.058906600000004,121.5115635,554126979
24,大同區,延平北路4段282巷,106-5-19,25.0770513,121.51074640000002,554527011
25,大同區,民權西路104號,106-3-6,25.062716899999998,121.51743229999998,554226988
26,大同區,承德路3段與民族西路口,106-4-5,25.068799,121.51346399999998,554326998
27,大同區,通河西街1段明倫高中後方堤外便道,106-2-16,25.076246100000002,121.5193385,554527011
28,大同區,鄭州路與塔城街口,106-2-6,25.050385000000002,121.50978640000001,553926961
29,大同區,鄭州路109號,106-2-10,25.050268399999997,121.5112996,553926961
30,大同區,承德路3段45號,106-2-13,25.064588,121.5186045,554226992
31,大同區,民權西路184巷26號與民權西路184巷口,106-2-17,25.0618,121.51446999999999,554226985
32,大同區,環河北路1段與鄭州路口,106-1-4,25.0596283,121.5085172,554126980
33,大同區,重慶北路2段與南京西路口,106-1-3,25.054553,121.511596,554026970
34,大同區,南京西路155巷,106-1-9,25.0546275,121.51341880000001,554026971
35,大同區,延平北路3段56號與延平北路3段口,106-1-14,25.0673044,121.51105120000001,554326995
36,大同區,承德路3段與民權西路口,106-1-22,25.0629867,121.5182325,554226989
37,大同區,鄭州路145號,106-2-8,25.050969600000002,121.5093209,553926962
38,大同區,民權西路266號,106-9-4,25.0627805,121.51214850000001,554226987
39,大同區,延平北路2段與保安街口,106-9-11,25.058906600000004,121.5115635,554126979
40,大同區,延平北路2段272巷與安西街口,106-1-12,25.0621,121.511175,554226985
41,大同區,忠孝西路1段與環河北路1段口,106-4-20,25.0836033,121.50688899999999,554727019
42,大同區,南京西路310號,106-4-12,25.0538625,121.51331689999999,554026969
43,大同區,迪化街2段與酒泉街口,106-4-23,25.0703643,121.51165220000001,554427000
44,大同區,環河北路1段與大稻埕堤外便道口堤外道路,106-4-23,25.054116,121.507081,554026968
45,大同區,民權西路與蘭州街口,106-2-14,25.062889000000002,121.5147047,554226988
46,大同區,南京西路107巷口,106-2-20,25.0545663,121.51567220000001,554026971
47,大同區,延平北路3段與昌吉街口,106-2-21,25.0682622,121.51089979999999,554326996
48,大同區,鄭州路145號中興醫院急診室前,106-2-12,25.0511327,121.50941940000001,554026962
49,大同區,民族西路182巷,106-4-20,25.068045,121.51485829999999,554326997
50,大同區,民權西路108號,106-4-22,25.06268080000001,121.5170959,554226988
51,大同區,承德路2段與平陽街口口,106-2-27,25.0551611,121.5165423,554026973
52,大同區,錦西街88號,106-2-8,25.060173000000002,121.5189561,554226983
